,chi_square,critical_val,p_val,dof,alpha,result
hotel,2224.765030329376,3.841458820694124,0.0,1,0.050000000000000044,Dependent (reject H0)
country,15563.8825025855,209.0423858512785,0.0,177,0.050000000000000044,Dependent (reject H0)
market_segment,8493.417785278354,12.591587243743977,0.0,6,0.050000000000000044,Dependent (reject H0)
distribution_channel,3742.738611341477,9.487729036781154,0.0,4,0.050000000000000044,Dependent (reject H0)
reserved_room_type,648.217447464143,16.918977604620448,9.286321311341837e-134,9,0.050000000000000044,Dependent (reject H0)
customer_type,2223.6972151187106,7.814727903251179,0.0,3,0.050000000000000044,Dependent (reject H0)
kids,19.23939906889285,3.841458820694124,1.1530888527274234e-05,1,0.050000000000000044,Dependent (reject H0)
