iter	Passed	Remaining
0	66	66867
1	111	55483
2	158	52620
3	209	52216
4	259	51674
5	309	51326
6	354	50268
7	397	49327
8	447	49298
9	492	48727
10	533	48009
11	594	48936
12	647	49177
13	696	49069
14	738	48520
15	785	48330
16	831	48065
17	873	47659
18	920	47530
19	964	47282
20	1010	47110
21	1066	47395
22	1187	50434
23	1235	50238
24	1286	50187
25	1330	49836
26	1373	49503
27	1412	49035
28	1458	48834
29	1506	48701
30	1548	48418
31	1597	48325
32	1645	48226
33	1691	48062
34	1736	47888
35	1787	47856
36	1835	47783
37	1885	47737
38	1933	47631
39	1981	47544
40	2028	47455
41	2074	47317
42	2129	47383
43	2177	47320
44	2233	47389
45	2281	47322
46	2332	47301
47	2385	47305
48	2436	47296
49	2487	47268
50	2535	47186
51	2592	47254
52	2639	47169
53	2689	47122
54	2738	47046
55	2779	46854
56	2833	46869
57	2890	46941
58	2941	46917
59	2994	46912
60	3045	46873
61	3098	46873
62	3146	46805
63	3201	46814
64	3248	46722
65	3291	46577
66	3342	46546
67	3380	46336
68	3435	46359
69	3483	46285
70	3531	46203
71	3582	46178
72	3635	46165
73	3690	46179
74	3738	46103
75	3785	46028
76	3836	45982
77	3892	46008
78	3942	45967
79	3991	45900
80	4042	45861
81	4098	45885
82	4154	45905
83	4205	45857
84	4256	45820
85	4311	45821
86	4359	45751
87	4411	45714
88	4459	45647
89	4503	45537
90	4546	45417
91	4594	45350
92	4645	45301
93	4691	45213
94	4743	45185
95	4794	45147
96	4841	45075
97	4893	45042
98	4938	44946
99	4981	44832
100	5032	44790
101	5083	44750
102	5171	45039
103	5226	45031
104	5274	44956
105	5325	44910
106	5382	44919
107	5430	44848
108	5481	44807
109	5527	44724
110	5579	44688
111	5635	44684
112	5688	44652
113	5739	44604
114	5831	44877
115	5904	44996
116	5977	45109
117	6050	45224
118	6114	45269
119	6174	45278
120	6225	45223
121	6270	45128
122	6318	45053
123	6375	45037
124	6441	45089
125	6500	45093
126	6624	45539
127	6682	45523
128	6738	45495
129	6793	45462
130	6845	45412
131	6899	45371
132	6951	45318
133	7003	45261
134	7063	45259
135	7120	45235
136	7175	45198
137	7235	45195
138	7397	45824
139	7455	45800
140	7503	45714
141	7551	45629
142	7607	45589
143	7664	45563
144	7714	45490
145	7761	45398
146	7803	45283
147	7850	45193
148	7903	45139
149	7952	45063
150	8004	45004
151	8052	44927
152	8105	44871
153	8153	44790
154	8205	44734
155	8259	44686
156	8317	44662
157	8368	44594
158	8423	44557
159	8471	44473
160	8520	44402
161	8577	44368
162	8640	44366
163	8693	44316
164	8744	44251
165	8803	44231
166	8859	44193
167	8911	44131
168	8960	44058
169	9016	44019
170	9066	43951
171	9114	43879
172	9173	43851
173	9223	43786
174	9283	43764
175	9355	43799
176	9409	43753
177	9461	43691
178	9528	43701
179	9589	43684
180	9635	43598
181	9689	43550
182	9737	43473
183	9790	43417
184	9850	43395
185	9906	43354
186	9960	43304
187	10009	43232
188	10064	43185
189	10114	43119
190	10169	43075
191	10223	43022
192	10270	42945
193	10317	42867
194	10365	42790
195	10419	42739
196	10468	42671
197	10519	42609
198	10569	42542
199	10617	42468
200	10668	42410
201	10720	42350
202	10764	42261
203	10811	42187
204	10854	42094
205	10906	42038
206	10958	41982
207	11011	41927
208	11064	41877
209	11117	41823
210	11168	41763
211	11217	41694
212	11264	41619
