iter	Logloss	Accuracy
89	0.4386090649	0.7823328299
90	0.4383063425	0.7826579411
91	0.4380190857	0.7827733031
92	0.4377147444	0.7828781777
93	0.4372621872	0.7831193892
94	0.437094892	0.7833501133
95	0.4367934358	0.7832662136
96	0.436575274	0.7833710882
97	0.4360112316	0.7840003356
98	0.4358380166	0.7844303213
99	0.4353801565	0.7845351959
100	0.435200717	0.7847344576
101	0.4346685713	0.7850071315
102	0.4344106269	0.7849861566
103	0.4339767756	0.7847973823
104	0.4336701975	0.7848078698
105	0.4334120722	0.7848603071
106	0.4331803067	0.7848707945
107	0.4329213689	0.7850595688
108	0.432478125	0.7857936907
109	0.4321185488	0.7861083145
110	0.4319418984	0.7860663646
111	0.4317136815	0.7861292894
112	0.4312825881	0.7864439131
113	0.4309192068	0.7866117124
114	0.4306815016	0.78658025
115	0.4305295762	0.7866536622
116	0.4303861252	0.7868843863
117	0.4301605546	0.7869368236
118	0.4298255084	0.7871151103
119	0.4296800828	0.7871360852
120	0.4292377482	0.787429734
121	0.4291036818	0.7874821713
122	0.4286711254	0.787429734
123	0.4285218508	0.7873248595
124	0.4283034032	0.7873668093
125	0.4280938893	0.7875136337
126	0.4278481006	0.7877653327
127	0.4275753048	0.7879855693
128	0.4274151698	0.7882687306
129	0.4271984605	0.7882477557
130	0.4269381208	0.7881953184
131	0.4267268711	0.7882792181
132	0.426598119	0.7884575048
133	0.4263880806	0.7888035909
134	0.4262176539	0.7889923651
135	0.4259693871	0.7890028526
136	0.4257777582	0.7892126017
137	0.4254970275	0.7892545516
138	0.4253604492	0.7894957631
139	0.4252156691	0.7896111251
140	0.4249396045	0.7901354979
141	0.4247247192	0.7900830607
142	0.4245835234	0.7899047739
143	0.4244563547	0.7899362363
144	0.4242523783	0.7900306234
145	0.4241026855	0.7903137847
146	0.4239237364	0.7904606091
147	0.4236795486	0.7904186593
148	0.4235629682	0.7904710966
149	0.4233738742	0.7907962077
150	0.4232615144	0.7909325447
151	0.4231395088	0.7908591325
152	0.4229206196	0.7909115698
153	0.4226329205	0.7913835053
154	0.4223124286	0.7918134911
155	0.4219964031	0.7918134911
156	0.4218612045	0.7919708029
157	0.4217297553	0.7921176273
158	0.4216071942	0.7924846883
159	0.4214694532	0.7925476131
160	0.421322153	0.7926629751
161	0.4211988699	0.7927468747
162	0.4209474105	0.7927678497
163	0.4207590632	0.7928832117
164	0.4205777017	0.7927678497
165	0.4203863404	0.7927888246
166	0.42026431	0.7928307744
167	0.4199761303	0.7931768605
168	0.4197582894	0.7931558856
169	0.4196237497	0.7930405235
170	0.4194892855	0.7931768605
171	0.4192166646	0.7937117208
172	0.419088204	0.7939214699
173	0.4190046277	0.7937431832
174	0.4187161796	0.7938585452
175	0.4185685956	0.7939319574
176	0.4183855045	0.7939529323
177	0.4182568636	0.794015857
178	0.4180990094	0.7943514557
179	0.4178526896	0.7944248679
180	0.4177187649	0.7944877926
181	0.4175634139	0.794749979
182	0.4174219429	0.7948443661
183	0.417273547	0.7948653411
184	0.4171459526	0.7949387533
185	0.4169252735	0.7951380149
186	0.4167164843	0.7954002014
187	0.4165552458	0.795368739
188	0.416363542	0.7953163017
189	0.4161934757	0.7955470258
190	0.4160567716	0.7955784881
191	0.4159143895	0.7957567749
192	0.4156131737	0.7957987247
193	0.415504549	0.7957672624
194	0.4153324744	0.7956833627
195	0.4151419651	0.7958616495
196	0.4150064768	0.7960189613
197	0.4148930502	0.7961867606
198	0.4146875101	0.7965643091
199	0.4146099567	0.7966167464
200	0.414483738	0.7967216209
201	0.4142660093	0.7968789328
202	0.4141280448	0.7969208826
203	0.4138927579	0.7969418575
204	0.4137563248	0.7969103952
205	0.4136523064	0.7969942948
206	0.4135205878	0.7970467321
207	0.4133805121	0.7973089185
208	0.4132874629	0.7978332914
209	0.412997077	0.7978647538
210	0.4128734696	0.7978542663
211	0.4127642664	0.7979486534
212	0.4125995088	0.7979696283
213	0.4124883683	0.7981059653
214	0.4123709402	0.7980849904
215	0.4122532063	0.7982003524
216	0.4119759502	0.7983262019
217	0.4117542635	0.7987247252
218	0.4115820741	0.7987981374
219	0.4114941733	0.7990393489
220	0.4113554453	0.7994483598
221	0.4111740399	0.7995742092
222	0.4108739087	0.7997629835
223	0.4107143156	0.8000776072
224	0.4104857321	0.8001719943
225	0.4103805407	0.8000566323
226	0.4102607164	0.800119557
227	0.4101236613	0.7999202953
228	0.4100502952	0.7999727326
229	0.4099470023	0.8001824818
230	0.4098884446	0.8003922309
231	0.4097144729	0.8006544173
232	0.4095600977	0.8010109909
233	0.4094544381	0.8011158654
234	0.4093707661	0.8011787902
235	0.4092739801	0.8013990268
236	0.4091236415	0.8013990268
237	0.4090290553	0.80122074
238	0.408814354	0.8013046397
239	0.4086812688	0.8013780518
240	0.4085207879	0.8011368403
241	0.40844268	0.8013780518
242	0.4083523286	0.8015039013
243	0.4082522194	0.8014409766
244	0.408095264	0.8013885393
245	0.4080119428	0.8013570769
246	0.4078496086	0.8015773135
247	0.4077745591	0.8018499874
248	0.4076233572	0.8018814498
249	0.4075225246	0.8019129122
250	0.4073938234	0.8021960735
251	0.4071931138	0.802206561
252	0.4070460297	0.8023114355
253	0.4069726171	0.802206561
254	0.4068616997	0.8022799732
255	0.4067409088	0.8023009481
256	0.4066494245	0.8023743603
257	0.4065378365	0.8023953352
258	0.4064063179	0.8024687474
259	0.4062869931	0.8027833711
260	0.406174302	0.8027728836
261	0.4060807077	0.8028148335
262	0.4059633826	0.8030770199
263	0.4058670988	0.8030245826
264	0.4057259816	0.8028253209
265	0.4056574121	0.8028567833
266	0.4055282935	0.8028882457
267	0.4053753976	0.8027204463
268	0.4052835798	0.8026994714
269	0.4050830729	0.8029826328
270	0.4049791383	0.8032657941
271	0.4048287403	0.8030770199
272	0.4046812468	0.8034965182
273	0.4046167317	0.8035279805
274	0.4043444432	0.8035909053
275	0.4041748597	0.8039474788
276	0.4040741017	0.8040418659
277	0.4039233941	0.8042935649
278	0.4037379153	0.80427259
279	0.4036443446	0.8043040524
280	0.4034170269	0.8046081886
281	0.4033034931	0.8047655005
282	0.403090268	0.8047864754
283	0.402955596	0.8049752496
284	0.4028100041	0.8049228123
285	0.402723864	0.8052479235
286	0.402586691	0.8052898733
287	0.4025341285	0.8053947479
288	0.4024346995	0.8054262103
289	0.4022497251	0.8053108482
290	0.4020583724	0.8054786475
291	0.4018712595	0.8056464468
292	0.4017158448	0.8058037587
293	0.4016218088	0.8057932712
294	0.4014618149	0.8060239953
295	0.4013550956	0.8059296082
296	0.4012771697	0.8059505831
297	0.4011702453	0.8058981458
298	0.4010254649	0.8058981458
299	0.4008692481	0.8060449702
300	0.400673034	0.8060764326
301	0.400523916	0.8062127695
302	0.400428847	0.8063281316
303	0.4002516188	0.8065064183
304	0.4001598439	0.8064644685
305	0.4000815651	0.8065378807
306	0.3999855778	0.806590318
307	0.3998789877	0.8066847051
308	0.3997831633	0.8068000671
309	0.3997200673	0.806821042
310	0.3996216952	0.806821042
311	0.3994957654	0.806821042
