iter	Logloss	Accuracy
0	0.608940678	0.7311959896
1	0.562256884	0.7472313114
2	0.5359405276	0.7471788741
3	0.5192667404	0.7475983723
4	0.5100764081	0.7482276198
5	0.5023373686	0.7530308751
6	0.4963671709	0.7530203876
7	0.4923003568	0.7530203876
8	0.4879845931	0.7570161087
9	0.4858109792	0.7584528903
10	0.4845283128	0.7585682524
11	0.4814410823	0.7592079872
12	0.4793578302	0.7591136001
13	0.4784394607	0.7603091702
14	0.4773162685	0.7615991274
15	0.4764718606	0.7624276365
16	0.475077357	0.7622808121
17	0.4741050074	0.7620920379
18	0.4728600849	0.7627737226
19	0.4720906983	0.7626373857
20	0.4708476091	0.7628681097
21	0.4702549866	0.7638539307
22	0.4690790966	0.7639273429
23	0.4684663254	0.7647453645
24	0.4679075315	0.7649760886
25	0.4673523434	0.7650599883
26	0.4668816612	0.7656892357
27	0.4659219828	0.7661611712
28	0.4653520062	0.7663814078
29	0.4644462123	0.7667274939
30	0.463754704	0.7670945549
31	0.4634722342	0.7670526051
32	0.4627384048	0.7676608776
33	0.4620757015	0.7677447772
34	0.4611354835	0.7688669351
35	0.4602765769	0.7689298599
36	0.4598489411	0.7691186341
37	0.4595870952	0.7692549711
38	0.4590172029	0.7688459602
39	0.4585866205	0.7695800822
40	0.4577574669	0.7699366558
41	0.4571172382	0.7701149425
42	0.4568231576	0.7701673798
43	0.4559954034	0.7709434516
44	0.4554064581	0.7712056381
45	0.4550792122	0.7713105126
46	0.4546529909	0.7714992869
47	0.4544224234	0.7716146489
48	0.4538114724	0.7713524625
49	0.4535711067	0.7715831865
50	0.4532176869	0.7718663478
51	0.4528328835	0.7717824482
52	0.4525196552	0.7719817099
53	0.4522982335	0.7722334088
54	0.4519914393	0.7726633946
55	0.4515468746	0.7725794949
56	0.4510197651	0.7734814162
57	0.4506250645	0.7734289789
58	0.4502179117	0.7737645776
59	0.4496955919	0.7744252874
60	0.4494448974	0.7747294236
61	0.4491516354	0.7747818609
62	0.4486642482	0.7749811226
63	0.4482321549	0.7747923484
64	0.4478121888	0.7750230724
65	0.4473225837	0.7749391727
66	0.4468862879	0.774876248
67	0.4464233338	0.7747923484
68	0.44614843	0.7748657606
69	0.4457472797	0.775495008
70	0.4451291436	0.7764283916
71	0.4449105531	0.7767744777
72	0.4446483605	0.7768059401
73	0.444347095	0.776942277
74	0.4440548029	0.7771730011
75	0.4438827187	0.7774876248
76	0.4436470205	0.7770995889
77	0.4433225528	0.7770052018
78	0.4428675886	0.7770052018
79	0.4426901275	0.7776239617
80	0.4424351199	0.7778022485
81	0.4421309738	0.7785573454
82	0.4418044893	0.7791970803
83	0.4415479451	0.7791341555
84	0.4411101036	0.7798997399
85	0.4407876814	0.7796165786
86	0.4404688583	0.7800151019
87	0.4401927825	0.7802353385
88	0.4398561143	0.7797214531
89	0.4395968832	0.7798997399
90	0.4394295732	0.7803821629
91	0.4392448463	0.7800570518
92	0.4389144424	0.7806653243
93	0.4382033803	0.7805184999
94	0.4379056539	0.780130464
95	0.4374771491	0.7809379982
96	0.4372482556	0.7809904354
97	0.4369155141	0.7816721201
98	0.4364623497	0.782311855
99	0.4362715322	0.7826579411
100	0.435969052	0.7827837906
101	0.4357518193	0.7829201275
102	0.4353178947	0.7831718265
103	0.4349935289	0.784398859
104	0.434626362	0.7841366725
105	0.4342803945	0.7842520346
106	0.4339590899	0.7842730095
107	0.4337757104	0.7842939844
108	0.4336007781	0.7844408088
109	0.4334695911	0.7844722712
110	0.4333557949	0.7843464217
111	0.4331450318	0.7845876332
112	0.4329167875	0.7846086081
113	0.4326581253	0.7845456834
114	0.4322718541	0.7846190956
115	0.4321787842	0.7849127444
116	0.4319320495	0.7849337193
117	0.4317314547	0.7848498196
118	0.4315616716	0.7850910311
119	0.4313667179	0.785363705
120	0.4312360409	0.7853427301
121	0.4310252181	0.7855524792
122	0.4307901336	0.7858251531
123	0.4305439091	0.7860663646
124	0.4304185184	0.7859929524
125	0.4302455884	0.7860139273
126	0.4300465845	0.7860244148
127	0.4297877544	0.786695612
128	0.4295902371	0.7869158486
129	0.4293771852	0.7871360852
130	0.4291730445	0.7872933971
131	0.4289136616	0.7873982717
132	0.4287637932	0.7875241212
133	0.4284906959	0.7874716839
134	0.4281138258	0.7876919205
135	0.4279860606	0.7878806947
136	0.4277382692	0.7880275191
137	0.4275830421	0.7880275191
138	0.4272169814	0.7881114187
139	0.4270188501	0.7882582431
140	0.4269092912	0.7881953184
141	0.4267396455	0.7884470174
142	0.4265843731	0.7881743435
143	0.4262965528	0.788415555
144	0.4260719023	0.7886882289
145	0.4256419428	0.7890552899
146	0.4254776151	0.7891182146
147	0.4253071944	0.7893174763
148	0.4250931931	0.7894328383
149	0.4247207223	0.7899362363
150	0.4244728174	0.790114523
151	0.4242913852	0.79025086
152	0.4240626318	0.7904920715
153	0.423920066	0.7905235339
154	0.4237124577	0.7907542579
155	0.4235594792	0.7909744945
156	0.4233016868	0.7911213189
157	0.4231158215	0.7912891182
158	0.4228802849	0.7914044802
