iter	Passed	Remaining
0	55	55706
1	97	48775
2	141	46911
3	185	46288
4	226	45043
5	255	42391
6	297	42174
7	333	41413
8	370	40804
9	405	40126
10	444	39945
11	484	39850
12	518	39389
13	553	39014
14	592	38934
15	628	38626
16	667	38570
17	701	38243
18	735	37981
19	772	37847
20	807	37627
21	842	37432
22	883	37538
23	919	37383
24	952	37157
25	985	36919
26	1023	36897
27	1054	36606
28	1090	36510
29	1122	36299
30	1154	36091
31	1193	36094
32	1274	37358
33	1324	37638
34	1371	37806
35	1410	37766
36	1445	37634
37	1481	37496
38	1522	37505
39	1558	37406
40	1592	37241
41	1629	37164
42	1667	37108
43	1700	36957
44	1745	37036
45	1798	37288
46	1842	37359
47	1880	37294
48	1918	37234
49	1961	37274
50	2003	37289
51	2046	37305
52	2084	37251
53	2119	37134
54	2156	37056
55	2199	37071
56	2234	36959
57	2270	36871
58	2306	36778
59	2341	36690
60	2377	36595
61	2414	36527
62	2454	36507
63	2496	36516
64	2533	36443
65	2574	36437
66	2620	36486
67	2659	36446
68	2702	36461
69	2745	36479
70	2784	36434
71	2825	36413
72	2868	36428
73	2911	36438
74	2955	36456
75	2995	36420
76	3040	36448
77	3078	36386
78	3120	36374
79	3162	36371
80	3208	36407
81	3259	36493
82	3303	36494
83	3343	36461
84	3388	36481
85	3434	36497
86	3470	36417
87	3509	36372
88	3552	36364
89	3587	36273
90	3630	36263
91	3676	36281
92	3715	36232
93	3762	36260
94	3807	36267
95	3852	36281
96	3901	36317
97	3946	36322
98	3986	36277
99	4032	36289
100	4076	36287
101	4121	36285
102	4165	36276
103	4211	36287
104	4256	36282
105	4299	36263
106	4347	36285
107	4384	36213
108	4428	36203
109	4474	36199
110	4518	36188
111	4559	36147
112	4604	36146
113	4651	36153
114	4697	36152
115	4742	36144
116	4791	36157
117	4828	36092
118	4872	36072
119	4912	36026
120	4960	36034
121	5002	35999
122	5048	35992
123	5089	35952
124	5132	35926
125	5171	35872
126	5215	35853
127	5259	35829
128	5304	35817
129	5348	35791
130	5387	35738
131	5435	35740
132	5483	35747
133	5541	35811
134	5590	35819
135	5637	35813
136	5679	35776
137	5726	35767
138	5770	35745
139	5814	35714
140	5867	35744
141	5918	35762
142	5972	35792
143	6020	35788
144	6065	35764
145	6110	35741
146	6156	35724
147	6199	35689
148	6244	35662
149	6285	35618
150	6333	35610
151	6376	35574
152	6424	35564
153	6467	35527
154	6507	35475
155	6551	35442
156	6588	35378
157	6635	35358
158	6673	35300
159	6717	35265
160	6762	35241
161	6808	35218
162	6854	35197
163	6897	35162
164	6940	35121
165	6984	35091
166	7029	35063
167	7073	35033
168	7117	34995
169	7162	34971
170	7211	34962
171	7251	34907
172	7293	34863
173	7330	34800
174	7375	34771
175	7420	34741
176	7466	34715
177	7507	34667
178	7554	34651
179	7599	34620
180	7637	34558
181	7684	34536
182	7727	34500
183	7774	34478
184	7824	34468
185	7871	34450
186	7916	34418
187	7962	34393
188	8006	34358
189	8048	34312
190	8097	34299
191	8142	34264
192	8187	34233
193	8230	34196
194	8278	34173
195	8319	34126
196	8367	34105
197	8413	34077
198	8459	34052
199	8506	34026
200	8550	33990
201	8597	33966
202	8643	33935
203	8688	33900
204	8729	33855
205	8774	33821
206	8818	33781
207	8865	33757
208	8914	33736
209	8956	33695
210	9004	33671
211	9054	33657
212	9093	33600
213	9140	33571
214	9184	33534
215	9230	33504
216	9277	33474
217	9323	33444
218	9366	33403
219	9405	33345
220	9461	33349
221	9507	33318
222	9549	33273
223	9601	33262
224	9647	33229
225	9690	33188
226	9737	33157
227	9780	33115
228	9832	33103
229	9881	33082
230	9930	33059
231	9980	33037
232	10024	33000
233	10073	32974
234	10114	32925
235	10160	32892
236	10206	32858
237	10254	32832
238	10300	32799
239	10346	32762
240	10389	32719
241	10434	32683
242	10480	32647
243	10530	32628
244	10582	32610
245	10631	32585
246	10675	32546
247	10719	32503
248	10766	32471
249	10811	32433
250	10854	32391
251	10903	32363
252	10945	32316
253	10992	32283
254	11035	32241
255	11079	32198
256	11123	32159
257	11169	32124
258	11218	32095
259	11264	32061
260	11312	32029
261	11358	31993
262	11412	31982
263	11459	31948
264	11506	31915
265	11553	31879
266	11597	31839
267	11641	31798
268	11690	31768
269	11736	31730
270	11786	31707
271	11832	31668
272	11876	31627
273	11922	31589
274	11967	31549
275	12018	31527
276	12063	31486
277	12112	31457
278	12153	31408
279	12203	31381
280	12246	31334
281	12283	31274
282	12327	31233
283	12373	31194
284	12422	31164
285	12465	31121
286	12503	31063
287	12546	31016
288	12594	30984
289	12639	30946
290	12688	30913
291	12734	30876
292	12783	30846
293	12828	30806
294	12872	30762
295	12916	30721
296	12961	30680
297	13006	30638
298	13046	30586
299	13090	30544
300	13130	30492
301	13179	30461
302	13226	30425
303	13268	30377
304	13311	30332
305	13357	30295
306	13404	30258
307	13444	30206
308	13483	30151
309	13524	30102
310	13568	30059
311	13608	30007
312	13652	29966
313	13697	29924
314	13743	29886
315	13788	29846
316	13837	29814
317	13885	29779
318	13929	29737
319	13976	29700
320	14016	29648
321	14060	29606
322	14102	29558
323	14145	29514
324	14187	29466
325	14229	29418
326	14276	29381
327	14317	29333
328	14370	29309
329	14417	29271
330	14461	29229
331	14511	29198
332	14553	29151
333	14596	29105
334	14639	29061
335	14685	29021
336	14731	28982
337	14777	28942
338	14823	28904
339	14865	28856
340	14912	28818
341	14955	28773
342	15000	28732
343	15041	28684
344	15085	28639
345	15128	28596
346	15175	28558
347	15218	28512
348	15262	28470
349	15310	28433
350	15355	28391
351	15399	28349
352	15444	28307
353	15499	28283
354	15542	28238
355	15591	28204
356	15631	28154
357	15675	28111
358	15722	28072
359	15771	28038
360	15825	28012
361	15870	27970
362	15922	27941
363	15976	27914
364	16039	27904
365	16093	27877
366	16179	27906
367	16234	27881
368	16291	27859
369	16345	27832
370	16401	27807
371	16449	27769
372	16495	27729
373	16547	27697
374	16593	27655
375	16639	27614
376	16690	27582
377	16741	27547
378	16788	27507
379	16839	27475
380	16890	27441
381	16938	27403
382	16978	27351
383	17025	27311
384	17078	27281
385	17130	27248
386	17174	27203
387	17215	27153
388	17262	27113
389	17299	27058
390	17342	27011
391	17386	26966
392	17428	26919
393	17471	26872
394	17520	26835
395	17561	26785
396	17602	26736
397	17644	26688
398	17688	26643
399	17732	26598
400	17775	26552
401	17821	26510
402	17864	26464
403	17912	26424
404	17955	26379
405	18002	26338
406	18048	26296
407	18092	26252
408	18135	26205
409	18184	26168
410	18234	26132
411	18284	26094
412	18333	26057
413	18380	26017
414	18429	25979
415	18470	25930
416	18518	25890
417	18561	25844
418	18602	25795
419	18647	25751
420	18696	25713
421	18740	25668
422	18788	25629
423	18839	25592
424	18882	25546
425	18925	25500
426	18971	25457
427	19019	25418
428	19070	25383
429	19121	25347
430	19172	25311
431	19210	25258
432	19260	25221
433	19312	25186
434	19362	25148
435	19413	25112
436	19467	25080
437	19515	25040
438	19566	25003
439	19612	24961
440	19657	24917
441	19704	24875
442	19747	24829
443	19786	24778
444	19835	24738
445	19872	24685
446	19918	24642
447	19962	24596
448	20009	24555
449	20057	24515
450	20104	24472
451	20149	24429
452	20202	24394
453	20250	24354
454	20292	24306
455	20344	24270
456	20389	24226
457	20443	24192
458	20499	24161
459	20548	24122
460	20600	24085
461	20647	24044
462	20691	23998
463	20733	23950
464	20782	23911
465	20823	23862
