iter	Logloss	Accuracy
0	0.6850952985	0.7728655808
1	0.6777026858	0.7730110077
2	0.6706203539	0.7737045821
3	0.6646173792	0.7720936997
4	0.657817755	0.7735703419
5	0.6517514938	0.776109719
6	0.6454232243	0.7761544657
7	0.6398049962	0.776322266
8	0.6342493062	0.7762775192
9	0.6288665504	0.7764788795
10	0.6236258803	0.7794769107
11	0.6185557045	0.7797342044
12	0.6136544249	0.7795440308
13	0.60885811	0.7794769107
14	0.6041157573	0.7795664042
15	0.5996034529	0.7794433506
16	0.5952981925	0.7796894577
17	0.5906681632	0.7798236979
18	0.5862264497	0.7815911938
19	0.5823459073	0.7807857526
20	0.5783845386	0.7786267227
21	0.5745509365	0.7790182567
22	0.5704276066	0.779711831
23	0.5664198625	0.7809088062
24	0.5630837547	0.7790630034
25	0.5596391398	0.7791189368
26	0.5567103875	0.7795775908
27	0.5532566248	0.7825532486
28	0.5501347449	0.7846339717
29	0.5470375661	0.784801772
30	0.5439999167	0.7845668516
31	0.5414363604	0.7847122785
32	0.5382273215	0.7846563451
33	0.5353009001	0.785047879
34	0.5326319881	0.7849695722
35	0.5295746425	0.7850814391
36	0.5267155398	0.7847570252
37	0.5241235366	0.784835332
38	0.5211984341	0.7849024521
39	0.5190564292	0.7848465187
40	0.5161152832	0.7850702524
41	0.5137973229	0.7849695722
42	0.5114785561	0.785260426
43	0.5094602453	0.7865916413
44	0.507553357	0.7867146948
45	0.5053800272	0.7867594416
46	0.5033220215	0.7867930016
47	0.5013542408	0.7868041883
48	0.4993293129	0.7868377483
49	0.4971569654	0.7872516556
50	0.4952621048	0.787699123
51	0.4933903786	0.7878333632
52	0.4914401048	0.7880794702
53	0.4891767613	0.7885269375
54	0.4875410235	0.7883815106
55	0.4856783699	0.788191337
56	0.4839111917	0.7885381242
57	0.4819392065	0.7879676034
58	0.4803041777	0.7882808305
59	0.4785896315	0.7882808305
60	0.4765907729	0.7885604976
61	0.4751161131	0.7889744049
62	0.4735860981	0.7888849114
63	0.4720557416	0.7887394845
