iter	Passed	Remaining
0	26	104636
1	42	85603
2	59	78888
3	75	75173
4	90	72430
5	107	71402
6	122	70038
7	138	69143
8	153	68135
9	169	67448
10	184	66835
11	199	66315
12	215	66019
13	230	65582
14	245	65334
15	261	65087
16	276	64755
17	291	64514
18	306	64316
19	322	64200
20	336	63789
21	350	63457
22	366	63330
23	385	63788
24	400	63648
25	415	63519
26	431	63517
27	446	63291
28	462	63312
29	479	63396
30	494	63329
31	510	63327
32	529	63640
33	546	63718
34	562	63705
35	578	63720
36	595	63744
37	611	63742
38	627	63712
39	645	63946
40	662	63940
41	678	63898
42	692	63770
43	708	63745
44	725	63793
45	742	63802
46	758	63764
47	774	63767
48	790	63774
49	806	63735
50	823	63729
51	840	63799
52	869	64770
53	898	65681
54	924	66345
55	947	66751
56	970	67147
57	992	67429
58	1013	67699
59	1036	68059
60	1053	68004
61	1068	67864
62	1083	67710
63	1099	67621
64	1116	67608
65	1132	67480
66	1148	67404
67	1162	67243
68	1177	67110
69	1193	67002
70	1209	66914
71	1223	66744
72	1238	66618
73	1253	66499
74	1268	66399
75	1283	66291
76	1299	66190
77	1315	66158
78	1331	66098
79	1347	66023
80	1363	65948
81	1381	66014
82	1397	65943
83	1412	65861
84	1428	65787
85	1441	65612
86	1456	65506
87	1472	65464
88	1488	65391
89	1503	65332
90	1519	65273
91	1535	65228
92	1551	65164
93	1565	65065
94	1581	65009
95	1596	64944
96	1612	64897
97	1628	64855
98	1646	64878
99	1659	64707
100	1674	64658
101	1690	64621
102	1708	64628
103	1724	64598
104	1740	64562
105	1757	64552
106	1774	64559
107	1790	64512
108	1807	64518
109	1823	64472
110	1837	64390
111	1853	64335
112	1868	64286
113	1885	64260
114	1900	64209
115	1916	64180
116	1931	64116
117	1947	64081
118	1962	64018
119	1978	63974
120	1994	63932
121	2010	63900
122	2025	63855
123	2042	63841
124	2058	63804
125	2074	63768
126	2086	63635
127	2101	63584
128	2116	63521
129	2132	63486
130	2148	63460
131	2164	63416
132	2180	63385
133	2193	63274
134	2208	63231
135	2224	63190
136	2237	63093
137	2252	63028
138	2267	62995
139	2283	62965
140	2298	62914
141	2314	62873
142	2329	62840
143	2345	62817
144	2361	62779
145	2378	62779
146	2393	62745
147	2409	62711
148	2424	62671
149	2439	62626
150	2455	62591
151	2468	62500
152	2484	62472
153	2500	62441
154	2515	62410
155	2531	62379
