iter	Logloss	Accuracy
0	0.6684771344	0.7311959896
1	0.6471571313	0.7320035238
2	0.6293025121	0.7320979109
3	0.6123061205	0.7323600973
4	0.599365907	0.73230766
5	0.5872105235	0.7372472523
6	0.5771158385	0.7471369242
7	0.5677726621	0.7471369242
8	0.5594142527	0.7485212686
9	0.5524563494	0.7484059065
10	0.5459773584	0.7487519926
11	0.5409219124	0.7478920211
12	0.536178432	0.7483639567
13	0.5315724824	0.7488254048
14	0.5275410763	0.7487415052
15	0.5238067441	0.7483115194
16	0.5205502516	0.7493497777
17	0.517546882	0.7505033979
18	0.5150036672	0.7508285091
19	0.5126617545	0.7511745952
20	0.5107116704	0.7510697206
21	0.5087733997	0.7525274771
22	0.5069536139	0.7521079789
23	0.5053271381	0.7527267388
24	0.5032844845	0.7527477137
25	0.5018389274	0.7530413625
26	0.5007219412	0.752800151
27	0.49931756	0.7532615991
28	0.4981930816	0.7554220153
29	0.4970100984	0.7556632268
30	0.4961024741	0.755736639
31	0.4946160334	0.755600302
32	0.493589747	0.7557995637
33	0.4924878379	0.7572468328
34	0.4914476869	0.7572363453
35	0.4904946155	0.7573621948
36	0.4896390842	0.7573307324
37	0.4890981655	0.7578551053
38	0.4882544721	0.7578655928
39	0.4876797002	0.7579599799
40	0.486838247	0.7579704673
41	0.4861199487	0.758169729
42	0.4855396172	0.7580438795
43	0.4850109921	0.75791803
44	0.4846100327	0.758421428
45	0.4838960106	0.7583165534
46	0.4832772579	0.7583270409
47	0.4828046852	0.7582641161
48	0.4821441274	0.7585158151
49	0.4814340559	0.7587570266
50	0.4809647327	0.7585577649
51	0.4805964082	0.7586416646
52	0.4801269866	0.7590611628
53	0.4796229828	0.7606447689
54	0.479092758	0.7607601309
55	0.4786311938	0.7607811058
56	0.4781494634	0.7611586542
57	0.4777058503	0.7609489051
58	0.4774430271	0.7611481668
59	0.4769645478	0.761221579
60	0.4766414502	0.7613474285
61	0.4763105641	0.7612949912
62	0.4760660761	0.761452303
63	0.4756485934	0.7615047403
64	0.4753529211	0.7618718013
65	0.4748575436	0.7617669268
66	0.4744833176	0.7619242386
67	0.4742470433	0.7618298515
68	0.4740161772	0.7621339878
69	0.473709573	0.7621444752
70	0.4733123485	0.7621130128
71	0.4730645636	0.7623122745
72	0.4728989854	0.7625325111
73	0.4727190455	0.7624905613
74	0.4725219968	0.7626164108
75	0.472352619	0.762805185
76	0.4721746189	0.7628471348
77	0.4719738292	0.7631198087
78	0.4717465212	0.7632037084
79	0.4715543007	0.7636756439
80	0.4712455026	0.763539307
81	0.470842163	0.7635917443
82	0.4704140886	0.76340297
83	0.4701723871	0.7630988338
84	0.4699328148	0.7629415219
85	0.4697764306	0.7628471348
86	0.4694888723	0.7629729843
87	0.4691589668	0.7633505328
88	0.4688707874	0.7645880527
89	0.4687306314	0.7643783035
90	0.4685662472	0.7648082893
91	0.4683623992	0.7644622032
92	0.4680958606	0.7650914506
93	0.4679228542	0.7651019381
94	0.4677061754	0.7654375367
95	0.4675030544	0.7654794865
96	0.4673738475	0.7655948486
97	0.4672129991	0.7651963252
98	0.466965566	0.7653850994
99	0.4668332384	0.765007551
100	0.4665898449	0.7650809632
101	0.4664066869	0.7651543754
102	0.4661883983	0.7652277876
103	0.4660412695	0.7653431496
104	0.4657708196	0.7653326621
105	0.4655579247	0.7651648628
106	0.4654029727	0.7654585116
107	0.4652724569	0.7651019381
108	0.4650485282	0.7654165618
109	0.4648607162	0.764871214
110	0.4645852205	0.765007551
111	0.4644802003	0.7653431496
112	0.4642731192	0.7653116872
113	0.4640568706	0.7655109489
114	0.4638786922	0.7655843611
115	0.4637106048	0.7654585116
116	0.4635094514	0.7659304472
117	0.4632833554	0.7661821462
118	0.4630615761	0.7662450709
119	0.4629547787	0.7662345834
120	0.4627043572	0.7662660458
121	0.46257134	0.7663709204
122	0.4624603409	0.7664128702
123	0.4623078248	0.7664233577
124	0.4621903063	0.7666855441
125	0.46205594	0.7667484688
126	0.4619551156	0.7667274939
127	0.4618246606	0.7666435943
128	0.4617358183	0.7666960315
129	0.4616635127	0.7666750566
130	0.4614758486	0.7668428559
131	0.4612664396	0.766706519
132	0.4611129502	0.7665492071
133	0.4608610722	0.7670945549
134	0.4607548713	0.7671784546
135	0.4605707165	0.7673043041
136	0.4604675802	0.7672099169
137	0.4603605075	0.7672728417
138	0.4602822161	0.7671469922
139	0.4601578036	0.7673567413
140	0.4599583717	0.7673672288
141	0.459789205	0.7675245406
142	0.459695834	0.7675350281
143	0.4596128185	0.7677133149
144	0.4595206621	0.7677028274
145	0.45941606	0.7678496518
146	0.4592920671	0.7678181894
147	0.4591594566	0.767923064
148	0.4589576314	0.7686676735
149	0.4587715181	0.7685208491
150	0.4584811903	0.7688774226
151	0.4583059716	0.7688144979
152	0.4581582546	0.7692025338
153	0.4580482472	0.7686257236
154	0.4579276754	0.7686257236
155	0.4577730797	0.7708490645
156	0.4576963885	0.7708176021
157	0.4575529292	0.770974914
158	0.4574370825	0.7710483262
159	0.457269384	0.7709015018
160	0.4571337128	0.770974914
161	0.4570300483	0.7710063764
162	0.4568729753	0.7711322259
163	0.4567109892	0.7717929356
164	0.4565425344	0.7717824482
165	0.4564373279	0.7718034231
166	0.4563756905	0.7718034231
167	0.4563020449	0.7718558604
168	0.4562168645	0.7718663478
169	0.4560585829	0.77193976
170	0.4558541494	0.7718873228
171	0.455723558	0.7719712224
172	0.4555682713	0.7719712224
173	0.4554341474	0.7724116956
174	0.455319263	0.7723592583
175	0.4551680458	0.7723802332
176	0.4550805976	0.7724326705
177	0.4549017997	0.7723592583
178	0.4547891447	0.7724221831
179	0.4544993441	0.772443158
180	0.454282663	0.772306821
181	0.4541245836	0.7723697458
182	0.4540295628	0.772327796
183	0.4539493225	0.7722543838
